㐀	~[FFE;][RE;][REE;][YZE;]
𠀪	~[KAA;]
𠀫	~[DPP;][KPP;]
𠀬	~[EOBB;][TNBB;][TOBB;]
𠀭	~[ETY;][MYY;]
𠀮	~[EBOX;]
𠀯	~[EOW;]
𠀰	~[BSP;]
𠀱	~[BBX;]
𠀲	~[TCC;]
𠀳	~[UBF;][UFA;]
𠀴	~[EEF;][EUF;]
𠀵	~[TNEM;][TNVM;][TONM;]
𠀶	~[BSN;][ESSN;]
𠀷	~[EOM;]
𠀸	~[ENCZ;][ENPZ;]
𠀹	~[EBNO;]
𠀺	~[ERSB;][TRSB;]
𠀻	~[RRIL;][RRQL;]
𠀼	~[TMX;]
𠀽	~[JNPA;][JNPP;][JNPU;]
𠀾	~[BAD;][BBT;]
𠀿	~[FOI;]
𠁀	~[SPAX;]
𠁁	~[OE;][OOE;][OOO;][OOOE;]
𠁂	~[HTI;][YDT;][YPDT;]
𠁃	~[BJCS;][BVS;][EBJS;][EBVS;]
𠁄	~[AMF;]
𠁅	~[ELYQ;][TLYQ;]
𠁆	~[BJE;][BJL;][BJM;][BJME;][BJML;]
𠁇	~[BNM;]
𠁈	~[TRHO;]
𠁉	~[ERPK;]
𠁊	~[JBBB;][JBBD;][YBBB;]
𠁋	~[BCS;][BJQS;]
𠁌	~[BRB;]
𠁍	~[BBKD;]
𠁎	~[CWF;]
𠁏	~[EONO;]
𠁐	~[EONO;]
𠁑	~[FNNF;]
𠁒	~[BJB;][BJMB;]
𠁓	~[BBBI;][BWI;]
𠁔	~[BEFK;][BIQK;][BOIK;]
𠁕	~[JCNO;][VNO;]
𠁖	~[LLCC;]
𠁗	~[DTDE;][JTDD;][QTDN;][YTDB;]
𠁘	~[ERQF;][TRQF;]
𠁙	~[BIVF;]
𠁚	~[FAD;][FAQD;]
𠁛	~[BBEW;][BBTW;][BHW;]
𠁜	~[BEFD;][BOTD;][BTD;][BTND;]
𠁝	~[BAQO;][BEFK;][BEFO;][BKO;][BOAO;][BOK;]
𠁞	~[BAQD;]
𠁟	~[BEFF;][BEFQ;][BOQ;][BQN;]
𠁠	~[MMMM;]
𠁡	~[,IY;][,NY;][IYY;][NY;]
𠁢	~[,IZ;][,IZL;][IZL;][IZZ;]
𠁣	~[DII;]
𠁤	~[FO;][ROO;][ROR;]
𠁥	~[BBI;][RII;][YBA;][YBN;]
𠁦	~[CRE;]
𠁧	~[CFI;][EFI;]
𠁨	~[ECI;][ECJ;]
𠁩	~[FCF;][RCR;]
𠁪	~[KCI;][KCJ;]
𠁫	~[GPT;]
𠁬	~[RIR;][RIYL;][RRI;]
𠁭	~[BIBI;][BIBR;][SSS;]
𠁮	~[BBBI;][BBBJ;]
𠁯	~[CUO;]
𠁰	~[QEE;]
𠁱	~[JCEE;][JCJJ;][JCQB;][VEWE;][VJWE;]
𠁲	~[BBJ;][BOJ;]
𠁳	~[EFF;][FFE;][IFFU;][RRE;]
𠁴	~[CXXX;][ICXI;][IOXI;]
𠁵	~[CEA;][CRQB;]
𠁶	~[CFMP;][NFMP;]
𠁷	~[CCCC;]
𠁸	~[CCJJ;]
𠁹	~[CEA;]
𠁺	~[CCYW;]
𠁻	~[CCLO;]
𠁼	~[AAA;]
𠁽	~[RAA;]
𠁾	~[,DA;][,DI;][DAA;][OAA;]
𠁿	~[EAU;][OAA;][UEA;]
𠂀	~[JAA;][RAA;][RAI;]
𠂁	~[HAA;][HAE;][HLE;]
𠂂	~[ANER;][ANR;][AOR;][NEER;]
𠂃	~[AJWA;][AJWX;][AJWZ;][NKA;][NZA;][NZX;]
𠂄	~[NAEB;][NAED;][NAEL;][NLD;][NLDB;][NLDL;]
𠂅	~[LWVA;][LWVZ;]
𠂆	~[,LP;][LP;]
𠂇	~[,XX;][XX;]
𠂈	~[,GP;][,UP;][GP;][UP;][UPP;]
𠂉	~[VE;]
𠂊	~[NY;]
𠂋	~[FE;][FP;]
𠂌	~[,GJ;][,PJ;][,UJ;][GJ;][PJJ;][UJ;]
𠂍	~[LWK;][LWY;][PRP;][PWK;][PWY;]
𠂎	~[DP;]
𠂏	~[FYK;][REY;][WKP;][WVY;]
𠂐	~[RAA;][RBA;][RBX;]
𠂑	~[DAA;][DAP;][EPP;]
𠂒	~[,PY;][,SE;][PYE;][SE;]
𠂓	~[,MU;][MUA;]
𠂔	~[,JP;][JP;]
𠂕	~[HNN;][PQN;][EQN;]
𠂖	~[FJ;][JMP;][QMX;]
𠂗	~[CRL;][PCL;][RCA;]
𠂘	~[LPA;]
𠂙	~[FPP;]
𠂚	~[GNP;][PDP;]
𠂛	~[PZE;]
𠂜	~[PEL;][PRI;][PYEI;][PZE;]
𠂝	~[PCI;][PCJ;]
𠂞	~[EBK;][PBK;]
𠂟	~[HJ;][HX;]
𠂠	~[EKK;][PBK;]
𠂡	~[RQJ;]
𠂢	~[LKN;]
𠂣	~[FEK;][PDK;]
𠂤	~[PBO;]
𠂥	~[PMJ;][PNR;]
𠂦	~[PFJI;][RFJ;]
𠂧	~[PREU;]
𠂨	~[PMJ;][PNR;]
𠂩	~[EEE;]
𠂪	~[RLP;]
𠂫	~[LPR;]
𠂬	~[LCL;]
𠂭	~[XAAA;][XFA;]
𠂮	~[FZL;][KIEZ;][KLZ;][LTLZ;]
𠂯	~[PJJQ;][PRJ;][PRQ;]
𠂰	~[LQN;][LSN;]
𠂱	~[ZFR;]
𠂲	~[GBT;][GMN;][PLN;]
𠂳	~[XUWI;]
𠂴	~[FNBE;]
𠂵	~[PYQI;][RYQ;][YQPI;][YQR;]
𠂶	~[WEP;][WFA;][WYY;]
𠂷	~[GNBG;][PDBG;]
𠂸	~[PRYR;]
𠂹	~[PBBB;]
𠂺	~[POXR;]
𠂻	~[GCK;][PCK;]
𠂼	~[RFFF;][ROOO;]
𠂽	~[PKN;][PQEK;][PQK;]
𠂾	~[PBB;]
𠂿	~[PBBJ;]
𠃀	~[PBBY;]
𠃁	~[PPK;][PQPK;]
𠃂	~[PBBE;]
𠃃	~[FPAQ;][FPI;]
𠃄	~[LKLK;]
𠃅	~[LFMB;][LMA;]
𠃆	~[PBET;][PBM;]
𠃇	~[BTDD;][GTDD;]
𠃈	~[EEER;][EERR;]
𠃉	~[,PZ;][,ZL;][,ZZ;][KLL;][LLL;][PZL;][PZZ;][ZL;][ZZ;]
𠃊	~[LL;]
𠃋	~[,LL;][,VE;][LL;][VE;]
𠃌	~[YY;]
𠃍	~[YY;]
𠃎	~[EII;][LL;]
𠃏	~[,GL;][,LL;][,UL;][GL;][LLL;][UL;]
𠃐	~[,ZZ;][ZZL;][ZZZ;]
𠃑	~[KK;][LII;]
𠃒	~[,AL;][,JL;][,RL;][AL;][CIJ;][JL;][JLL;][RL;]
𠃓	~[EKM;][WMP;][YYM;]
𠃔	~[,GL;][,LR;][,UL;][GLL;][LRL;][ULL;]
𠃕	~[GPL;][GRL;][PGL;][RGI;]
𠃖	~[ILL;]
𠃗	~[UZL;][UZZ;]
𠃘	~[FZL;][FZZ;]
𠃙	~[,KK;][KKL;][KKX;][KKZ;]
𠃚	~[FLY;]
𠃛	~[DII;][NRE;]
𠃜	~[CP;]
𠃝	~[ZSA;]
𠃞	~[ESL;]
𠃟	~[RLL;]
𠃠	~[EAA;][EBA;][FMA;]
𠃡	~[ZBIL;][ZGL;]
𠃢	~[FRI;][NRI;][OOR;]
𠃣	~[ZSP;]
𠃤	~[ESL;][PFS;]
𠃥	~[LQB;][LYS;][ZQB;][ZYS;]
𠃦	~[IQL;]
𠃧	~[LBLB;][ZBZB;]
𠃨	~[LEE;][LEU;][ZEE;]
𠃩	~[KBM;]
𠃪	~[FLL;][RFL;][RORL;]
𠃫	~[CYY;][JQIY;][JQY;]
𠃬	~[FFFF;][FLFF;]
𠃭	~[EOL;]
𠃮	~[ZCW;]
𠃯	~[HRZ;]
𠃰	~[BLNQ;][GNNQ;][LBNQ;][UNNQ;]
𠃱	~[JNZL;]
𠃲	~[VLL;]
𠃳	~[KOPO;]
𠃴	~[TUL;]
𠃵	~[QLL;][ZDJL;]
𠃶	~[ENUL;]
𠃷	~[HZZ;]
𠃸	~[YDL;]
𠃹	~[EJOL;]
𠃺	~[ZBTM;][ZHO;]
𠃻	~[BIRZ;][BISZ;][RIRZ;][RISZ;]
𠃼	~[POXL;]
𠃽	~[BUEL;]
𠃾	~[NBBL;][NBBX;][NXXL;][NXXX;]
𠃿	~[ENAL;]
𠄀	~[EZLU;][EZUL;]
𠄁	~[KBE;]
𠄂	~[ESL;][EWFL;][UWFL;]
𠄃	~[TDKZ;]
𠄄	~[WDKZ;]
𠄅	~[FEBL;][FSL;]
𠄆	~[KTDK;]
𠄇	~[EZLO;][EZPL;]
𠄈	~[MCSZ;][MCZZ;]
𠄉	~[EZGL;][EZLQ;]
𠄊	~[JDDZ;]
𠄋	~[EDDZ;][IDDZ;][TDDZ;]
𠄌	~[,II;][II;]
𠄍	~[,GI;][GI;]
𠄎	~[,WK;][,WY;][WK;][WY;]
𠄏	~[,IL;][,WL;][IL;][WL;]
𠄐	~[TI;][YII;]
𠄑	~[,LII;][,RL;][,SL;][ILI;][LII;][LRI;][RLL;][SL;]
𠄒	~[,GP;][,PU;][GPP;][PEP;][PUP;]
𠄓	~[KRI;][SNN;][SNX;]
𠄔	~[JLL;][ZJ;]
𠄕	~[WWW;]
𠄖	~[APT;][ATT;]
𠄗	~[NYW;]
𠄘	~[WRJ;]
𠄙	~[ECE;][TCE;]
𠄚	~[MKT;]
𠄛	~[UPNN;][UPON;]
𠄜	~[JCEH;][JCET;][VEAT;][VEBH;]
𠄝	~[UNNF;][UNOF;]
𠄞	~[,RE;][R;][RE;]
𠄟	~[,EE;][,RE;][EEE;][RE;]
𠄠	~[,RE;][R;][RE;]
𠄡	~[EXE;]
𠄢	~[ENOE;][EOOE;][EPOE;]
𠄣	~[DPE;][ENME;][VME;]
𠄤	~[ERE;]
𠄥	~[EKEK;][KEKE;][RKRK;]
𠄦	~[RPU;][RRN;][RWB;]
𠄧	~[CLR;][CRE;]
𠄨	~[DPE;][ECPE;]
𠄩	~[UOR;]
𠄪	~[WRE;]
𠄫	~[RBR;]
𠄬	~[JNSR;][JRE;]
𠄭	~[EZE;][TNME;]
𠄮	~[EWWE;]
𠄯	~[RKTE;]
𠄰	~[ROF;]
𠄱	~[RIR;]
𠄲	~[WQL;]
𠄳	~[RYUD;]
𠄴	~[TVJ;]
𠄵	~[EDDE;]
𠄶	~[PKW;]
𠄷	~[OOOE;][OOOH;][OOOU;]
𠄸	~[ENOE;][KOOE;][VOOE;][WOOE;]
𠄹	~[ENOE;][KOPE;]
𠄺	~[JMR;]
𠄻	~[WTT;]
𠄼	~[JNBW;][NWE;]
𠄽	~[RJRS;]
𠄾	~[RFL;][RFOO;]
𠄿	~[ROW;][ROWS;][RUW;][RUWS;][RWOU;][RWU;]
𠅀	~[YBGT;][YKAT;][YZT;]
𠅁	~[AFE;][AFL;][FL;][LIE;][LLE;]
𠅂	~[LZX;]
𠅃	~[JA;][JN;][LBB;]
𠅄	~[LDP;]
𠅅	~[LTN;]
𠅆	~[LFN;][LGB;][LLBP;]
𠅇	~[BEF;][BIL;]
𠅈	~[LEN;][LENB;][LTNB;]
𠅉	~[ADE;][LDE;][LUBE;]
𠅊	~[LCJ;]
𠅋	~[LWJ;]
𠅌	~[LDN;][LOD;]
𠅍	~[QBF;][YSF;]
𠅎	~[FSN;]
𠅏	~[LCP;][LFP;][LHC;][LOC;][LOFP;]
𠅐	~[SNF;]
𠅑	~[LDID;][LPPD;][LYID;][LYPD;]
𠅒	~[FQB;][FYS;]
𠅓	~[LOBB;]
𠅔	~[LCL;][LHC;][LHCL;][LOC;][LOCL;]
𠅕	~[LXK;]
𠅖	~[LHOJ;][LOJ;][LOOJ;]
𠅗	~[TLPU;][TLX;]
𠅘	~[LHNT;][LNT;][LONT;]
𠅙	~[LHNR;][LNR;][LONR;]
𠅚	~[LPJC;][LPJX;]
𠅛	~[LUXI;][LXUI;][WUWI;]
𠅜	~[LPDR;]
𠅝	~[LHNZ;][LNZ;][LONZ;]
𠅞	~[LCR;][LCSR;]
𠅟	~[LFR;][LRRR;]
𠅠	~[LHOI;][LHOT;][LOOI;][LOOT;][LOUI;]
𠅡	~[LCC;][LHCC;][LOCC;]
𠅢	~[LHNG;][LNG;][LONG;]
𠅣	~[LRH;][LRUP;]
𠅤	~[LQH;]
𠅥	~[LQU;]
𠅦	~[LDCD;][LED;][LNCD;]
𠅧	~[LOOD;]
𠅨	~[LSRC;][LSRP;]
𠅩	~[LDKA;][LDZ;][LHDA;][LHDX;][LHXZ;][LODA;][LODX;][LODZ;]
𠅪	~[LKKR;][LKRK;][LRKK;]
𠅫	~[LXXR;]
𠅬	~[LSRU;]
𠅭	~[LFOR;][LOFR;]
𠅮	~[LOSR;][LSRR;]
𠅯	~[LFLF;]
𠅰	~[LFVF;][LVDF;][LYVF;]
𠅱	~[NUL;][NULU;]
𠅲	~[LEED;][LGD;][LGID;]
𠅳	~[FOMB;]
𠅴	~[LDUY;]
𠅵	~[LGEA;][LGNA;][LGUA;]
𠅶	~[LHNA;][LHNX;][LHNZ;][LNTA;][LNTX;][LNTZ;][LONA;][LONX;][LONZ;]
𠅷	~[LOOJ;]
𠅸	~[LNYF;][LONF;]
𠅹	~[LNTW;][LONW;]
𠅺	~[LLOT;][LOGT;][LOLT;][LOWT;]
𠅻	~[FWOU;]
𠅼	~[FHSN;]
𠅽	~[FRLS;]
𠅾	~[LNOL;][LNX;]
𠅿	~[LNRM;][LNRU;][LONM;][LONU;]
𠆀	~[LHNJ;][LNEJ;][LNOJ;][LONJ;]
𠆁	~[LQEE;][LQGG;]
𠆂	~[LBBI;][LBBR;][LBBS;][LBSS;][LOBI;][LOBR;][LOBS;]
𠆃	~[LOSR;][LSNR;]
𠆄	~[DCMB;][LCMB;]
𠆅	~[LPOT;]
𠆆	~[LBRG;][LHOG;][LOOG;][LORG;][LORJ;][LOYG;]
𠆇	~[JNMD;][JOMB;][LPND;][LPOB;][XNED;][XNMD;]
𠆈	~[WNG;]
𠆉	~[TEHJ;][TEHR;][TEJJ;][TEJR;][TERJ;][TFFR;][TTHJ;][TTHR;][TTJJ;][TTJR;][TXR;]
𠆊	~[LHNO;][LNO;][LONO;]
𠆋	~[LJYO;][LYCO;][LYJO;][LYPO;]
𠆌	~[LDRD;][LHDD;][LODD;]
𠆍	~[LUJB;]
𠆎	~[LOWU;]
𠆏	~[LBBR;][LBBS;][LEBR;][LESI;][LHES;][LOBS;][LOEI;][LOER;][LOES;]
𠆐	~[LMMF;]
𠆑	~[LQIB;][LQOB;]
𠆒	~[LHND;][LNLD;][LOND;]
𠆓	~[LOZL;][LOZU;][LZL;][LZLU;]
𠆔	~[LOZR;][LZGR;]
𠆕	~[BGGU;][BKL;][BKLU;][PGPL;][PGPU;]
𠆖	~[LFXO;]
𠆗	~[LDYO;][LYDO;][WAO;]
𠆘	~[LNBK;]
𠆙	~[LNTL;][LNTU;][LONL;][LONU;]
𠆚	~[LMMF;]
𠆛	~[LDO;][LDOJ;]
𠆜	~[WJEG;][WJG;]
𠆝	~[LDDL;][LDDP;][LDPL;][LDPP;]
𠆞	~[LOZE;][LZLE;]
𠆟	~[LSNQ;]
𠆠	~[LSNF;]
𠆡	~[LSNF;]
𠆢	~[BN;]
𠆣	~[EBN;]
𠆤	~[BII;][FI;][SI;]
𠆥	~[,BP;][,MN;][,PX;][BPX;][MNX;][PXX;]
𠆦	~[ALL;][BEL;][BFL;][LAE;][LBE;]
𠆧	~[PBN;]
𠆨	~[PWI;]
𠆩	~[PRA;]
𠆪	~[BIC;][BIF;]
𠆫	~[PUP;]
𠆬	~[PEK;][PKE;][PRK;]
𠆭	~[ATW;][ATZ;][AYLZ;][AYW;][AYWZ;][AYX;][AYXZ;][BRX;][BRXZ;]
𠆮	~[PED;]
𠆯	~[PSI;]
𠆰	~[PEI;][PEL;][PRI;]
𠆱	~[PAJ;]
𠆲	~[PLP;]
𠆳	~[BFE;]
𠆴	~[JNB;][LNB;]
𠆵	~[PAK;][PBK;]
𠆶	~[PKL;][PNR;]
𠆷	~[KBR;]
𠆸	~[PZU;]
𠆹	~[BFM;][BLM;][BML;]
𠆺	~[PWI;]
𠆻	~[PKJ;]
𠆼	~[PLW;]
𠆽	~[PXU;]
𠆾	~[PLA;]
𠆿	~[PNE;][PWF;]
𠇀	~[AYU;]
𠇁	~[PQI;]
𠇂	~[PDO;][POA;]
𠇃	~[BPF;]
𠇄	~[ADN;][BED;][BGN;]
𠇅	~[PEO;]
𠇆	~[PEN;][PTN;]
𠇇	~[PAF;][PAQ;][PAQL;][PAX;][PAYD;][PAYO;]
𠇈	~[PZE;]
𠇉	~[PINN;]
𠇊	~[PFB;][PKN;]
𠇋	~[ARJ;][BKJ;]
𠇌	~[RUB;][TBN;]
𠇍	~[BFA;][BHA;]
𠇎	~[BRE;]
𠇏	~[BAY;]
𠇐	~[PKE;]
𠇑	~[PBX;]
𠇒	~[PBB;]
𠇓	~[PPW;]
𠇔	~[PML;]
𠇕	~[PCL;]
𠇖	~[PBZ;][PPAZ;][PPZ;]
𠇗	~[PGA;]
𠇘	~[PAQI;]
𠇙	~[PRO;]
𠇚	~[BQI;]
𠇛	~[PFN;]
𠇜	~[BUA;]
𠇝	~[POR;]
𠇞	~[PAJU;]
𠇟	~[PUN;]
𠇠	~[QBB;][YSB;]
𠇡	~[PFS;]
𠇢	~[PEDN;][PENX;][PTDN;][PVX;]
𠇣	~[PRS;]
𠇤	~[PKA;]
𠇥	~[PIW;]
𠇦	~[PNY;]
𠇧	~[BRNN;]
𠇨	~[BAJ;][BBG;]
𠇩	~[PDP;]
𠇪	~[PPH;][PVQ;][PWE;]
𠇫	~[PBQ;]
𠇬	~[EEB;][ESEB;][FMB;]
𠇭	~[ACI;][ACJ;]
𠇮	~[ANB;][BEB;][BENB;]
𠇯	~[BKE;][BPO;]
𠇰	~[BJN;][BLN;]
𠇱	~[PQB;][PYS;]
𠇲	~[PAT;]
𠇳	~[PDR;]
𠇴	~[PDD;]
𠇵	~[PSR;]
𠇶	~[PNO;]
𠇷	~[PSE;]
𠇸	~[PLE;]
𠇹	~[PSI;][PUI;][PYNI;]
𠇺	~[PQI;]
𠇻	~[PFO;]
𠇼	~[PHJ;]
𠇽	~[PFN;]
𠇾	~[PTE;]
𠇿	~[FBN;][GUB;][RBN;][UUB;]
𠈀	~[PYBD;]
𠈁	~[PFC;][PFF;]
𠈂	~[BUO;]
𠈃	~[PTT;]
𠈄	~[PRE;]
𠈅	~[PGP;]
𠈆	~[PPB;]
𠈇	~[PEOB;][PTOB;]
𠈈	~[PPOX;]
𠈉	~[POS;]
𠈊	~[PLC;][PLCL;]
𠈋	~[PAQJ;][PAQX;]
𠈌	~[BBBB;]
𠈍	~[PPG;]
𠈎	~[PDD;][PFEE;][PFIF;][PFII;]
𠈏	~[AOB;]
𠈐	~[PIQX;][PIX;]
𠈑	~[BSER;]
𠈒	~[BFS;]
𠈓	~[PENE;][PENU;][PTNU;]
𠈔	~[BFBE;]
𠈕	~[PNBN;][PQY;]
𠈖	~[PBN;][PBQN;]
𠈗	~[PEDE;]
𠈘	~[BYY;]
𠈙	~[PAF;][PAHX;][PKX;]
𠈚	~[PXIY;]
𠈛	~[BUR;]
𠈜	~[PDC;][PDCL;][PNC;][PNCL;]
𠈝	~[PACE;][PBDE;]
𠈞	~[PCJ;][PCS;]
𠈟	~[PEP;]
𠈠	~[PVS;]
𠈡	~[PREN;][PRTN;]
𠈢	~[ACP;]
𠈣	~[SRB;]
𠈤	~[PSG;]
𠈥	~[PQI;][PQY;]
𠈦	~[PEP;]
𠈧	~[PMU;][PUU;]
𠈨	~[PVE;][PVFE;]
𠈩	~[PFN;][PKN;][PLEN;][PLTN;]
𠈪	~[PBED;][PBGN;][PGN;]
𠈫	~[PBN;]
𠈬	~[PPY;][PUY;]
𠈭	~[PNS;]
𠈮	~[BOZ;]
𠈯	~[PGGU;][PGLU;][PGUU;][PUGU;]
𠈰	~[PPZW;]
𠈱	~[PWS;]
𠈲	~[PXO;]
𠈳	~[PCEF;]
𠈴	~[PTFB;][PTYZ;][PUEB;]
𠈵	~[PAKM;]
𠈶	~[PEPU;][PERN;]
𠈷	~[PQG;][PQJ;][PQLI;]
𠈸	~[PAXH;]
𠈹	~[PWP;]
𠈺	~[PBY;]
𠈻	~[PBBO;][PWO;]
𠈼	~[PBEU;][PBLU;][PBTU;]
𠈽	~[DCRB;][NCRB;]
𠈾	~[BRG;][BRJ;]
𠈿	~[PMEU;][PUEU;][PUU;]
𠉀	~[PIFD;][PIFN;]
𠉁	~[NBOB;]
𠉂	~[PDW;]
𠉃	~[PZFR;]
𠉄	~[PLJ;]
𠉅	~[PBDD;][PFED;]
𠉆	~[PLB;]
𠉇	~[PFO;]
𠉈	~[PDU;]
𠉉	~[PTO;]
𠉊	~[PJM;][PXM;]
𠉋	~[PRF;]
𠉌	~[POU;]
𠉍	~[POT;]
𠉎	~[PNW;][PVW;]
𠉏	~[PPF;]
𠉐	~[PAYO;]
𠉑	~[PHR;]
𠉒	~[BBQL;]
𠉓	~[BSEE;][BSES;][BYF;]
𠉔	~[PGJJ;][PGR;]
𠉕	~[PJCU;][PVU;]
𠉖	~[POW;]
𠉗	~[PGOL;]
𠉘	~[PRHP;]
𠉙	~[ARM;][BKM;]
𠉚	~[PBBE;][PWE;]
𠉛	~[PAQN;][PAQY;][PAY;]
𠉜	~[PCM;]
𠉝	~[PJZK;][PJZW;]
𠉞	~[AYCF;]
𠉟	~[PTG;]
𠉠	~[PEQ;][PUQ;]
𠉡	~[PZS;]
𠉢	~[POW;]
𠉣	~[PXD;]
𠉤	~[PWD;]
𠉥	~[PWUL;]
𠉦	~[PEOB;][PTNB;][PTOB;]
𠉧	~[PRU;]
𠉨	~[PYUA;][PYUD;]
𠉩	~[PHOM;][PHOX;]
𠉪	~[PTT;]
𠉫	~[PMIK;]
𠉬	~[POOL;]
𠉭	~[BBBB;]
𠉮	~[PBND;]
𠉯	~[PJEG;][PJG;]
𠉰	~[PEK;]
𠉱	~[PFF;]
𠉲	~[AOC;][AOCL;]
𠉳	~[PWZR;]
𠉴	~[PUA;]
𠉵	~[PNEZ;]
𠉶	~[PQR;]
𠉷	~[PLP;]
𠉸	~[PWU;]
𠉹	~[PWS;]
𠉺	~[PUR;][PUTR;]
𠉻	~[PYPF;]
𠉼	~[AOPF;]
𠉽	~[AUS;]
𠉾	~[PRAY;][PRY;]
𠉿	~[PCP;]
𠊀	~[PELG;]
𠊁	~[PRT;]
𠊂	~[PEBP;][PERP;]
𠊃	~[PREN;][PRN;][PRTN;]
𠊄	~[PAE;]
𠊅	~[PPF;]
𠊆	~[PBC;]
𠊇	~[PCM;]
𠊈	~[PAOP;]
𠊉	~[ADNM;][BTNM;]
𠊊	~[APDC;][APDF;][BTDC;][BTDF;]
𠊋	~[BBEL;][BBTL;]
𠊌	~[BFF;]
𠊍	~[BBAE;]
𠊎	~[PLYY;]
𠊏	~[PSRR;]
𠊐	~[PNI;][PNWU;]
𠊑	~[PABO;][PLSO;][PRSO;]
𠊒	~[PLCP;][PLFP;]
𠊓	~[PLNF;]
𠊔	~[PWL;]
𠊕	~[PEEF;]
𠊖	~[PSCR;]
𠊗	~[OQU;][PQU;]
𠊘	~[PFU;]
𠊙	~[PNM;]
𠊚	~[PDEA;][PDUA;]
𠊛	~[DEAB;][DUAB;]
𠊜	~[PGLO;]
𠊝	~[PAXO;]
𠊞	~[PCH;]
𠊟	~[POQL;]
𠊠	~[PRBD;]
𠊡	~[PBHL;][PBKR;]
𠊢	~[PNBG;][PNRG;]
𠊣	~[PEE;]
𠊤	~[PZB;]
𠊥	~[PWW;]
𠊦	~[PSEZ;]
𠊧	~[PBE;][PBEE;][PBO;]
𠊨	~[PQQB;]
𠊩	~[PZZZ;]
𠊪	~[PYD;]
𠊫	~[PNDZ;]
𠊬	~[PBBP;][PWP;]
𠊭	~[PAQO;][PKO;]
𠊮	~[PMP;]
𠊯	~[PNBU;]
𠊰	~[PQO;]
𠊱	~[PLFD;][PNLD;]
𠊲	~[PNBD;][PNRD;]
𠊳	~[PENU;][PEZU;][PTNU;]
𠊴	~[PLBE;]
𠊵	~[PECC;]
𠊶	~[PBNG;]
𠊷	~[PPP;]
𠊸	~[PENF;]
𠊹	~[PMP;]
𠊺	~[BLW;]
𠊻	~[PEYT;][PEZB;]
𠊼	~[PCR;]
𠊽	~[POXD;]
𠊾	~[PJED;][PJGN;][PKN;]
𠊿	~[PNE;][PNEE;]
𠋀	~[PTD;][PTND;]
𠋁	~[ASM;][BEM;]
𠋂	~[PDCB;][PEB;][PNCB;]
𠋃	~[PTUL;]
𠋄	~[PBKG;]
𠋅	~[BFM;]
𠋆	~[PLB;][PLT;]
𠋇	~[PMB;]
𠋈	~[PLFD;]
𠋉	~[PFJ;]
𠋊	~[PBNQ;]
𠋋	~[PWOD;]
𠋌	~[PELF;][PEXF;]
𠋍	~[PDBP;][PDRP;]
𠋎	~[PNEH;]
𠋏	~[PUMB;]
𠋐	~[PPQK;]
𠋑	~[AMO;]
𠋒	~[AOK;][AOOK;]
𠋓	~[BSCU;][BSFP;][BSRL;][BSRP;][BSRZ;]
𠋔	~[BEWW;][BWIU;][BWWE;]
𠋕	~[PIRT;]
𠋖	~[PCS;][PJQS;]
𠋗	~[PEWE;][PIWW;][PTWE;]
𠋘	~[PAQG;]
𠋙	~[PGR;]
𠋚	~[PDBU;]
𠋛	~[PIZU;]
𠋜	~[PBI;][PSSO;]
𠋝	~[PMS;]
𠋞	~[PCA;]
𠋟	~[PEEB;][PGB;]
𠋠	~[PEGU;][PEX;]
𠋡	~[PXA;][PXN;]
𠋢	~[PNFU;]
𠋣	~[PLIO;][PLOI;][PLTO;]
𠋤	~[PNP;]
𠋥	~[PCM;]
𠋦	~[PGT;]
𠋧	~[PHEE;]
𠋨	~[POOR;]
𠋩	~[PLDP;]
𠋪	~[PNR;]
𠋫	~[PPFD;]
𠋬	~[PMAD;]
𠋭	~[PTSO;]
𠋮	~[PXIB;]
𠋯	~[PEG;]
𠋰	~[PJAF;][PYFQ;]
𠋱	~[PCSU;]
𠋲	~[PJNS;]
𠋳	~[PJVD;][PKN;]
𠋴	~[PFFR;]
𠋵	~[PZW;]
𠋶	~[PNDL;]
𠋷	~[PEC;][PEEC;]
𠋸	~[PIOT;]
𠋹	~[PNDK;]
𠋺	~[PUAC;][PUBC;]
𠋻	~[PQBP;][PQRP;]
𠋼	~[POWO;]
𠋽	~[PDKW;]
𠋾	~[PKMA;][PKMN;][PKUB;]
𠋿	~[PEDY;][PERY;][POY;]
𠌀	~[PEMN;][PETT;][PEUB;]
𠌁	~[PXXA;][PXXX;][PXXZ;]
𠌂	~[BXXJ;]
𠌃	~[PDDQ;]
𠌄	~[PCRK;]
𠌅	~[PRCC;]
𠌆	~[BKDO;][BKDP;][BKO;][BKOO;][BKOP;]
𠌇	~[LADB;][PAB;][PADB;]
𠌈	~[ABBM;]
𠌉	~[BYBD;][BYBN;]
𠌊	~[LCL;]
𠌋	~[PBBA;][PBBZ;][PWRA;][PWZ;]
𠌌	~[PNBC;]
𠌍	~[PBNW;]
𠌎	~[PMF;]
𠌏	~[PSEC;][PSES;]
𠌐	~[PCEF;][PCEP;][PCER;]
𠌑	~[AEOL;][AEON;][BROL;][BRON;]
𠌒	~[PCP;]
𠌓	~[BRDJ;]
𠌔	~[PPDP;]
𠌕	~[BRBR;]
𠌖	~[PIRT;]
𠌗	~[PAXB;]
𠌘	~[PTMP;]
𠌙	~[PIRC;]
𠌚	~[PIKJ;][PIPJ;][PIVJ;]
𠌛	~[POTM;]
𠌜	~[POI;]
